time(ns),x,y,z,qw,qx,qy,qz
1718164064300335104,-62.8762,303.42,14.3239,0.718974,0.00101818,-0.00417072,-0.695024
1718164064400282880,-62.8659,302.998,14.3225,0.719266,0.00107416,-0.0038334,-0.694724
1718164064500250112,-62.8552,302.577,14.32,0.719592,0.000991754,-0.00356016,-0.694387
1718164064600231936,-62.8445,302.156,14.3167,0.719866,0.000958652,-0.0033603,-0.694104
1718164064700211968,-62.8342,301.737,14.3141,0.720198,0.000919622,-0.00359681,-0.693758
1718164064800186112,-62.8232,301.317,14.3116,0.720782,0.000772423,-0.00375569,-0.693151
1718164064900175872,-62.8109,300.897,14.3086,0.721364,0.000756245,-0.00390277,-0.692544
1718164065000167936,-62.7978,300.476,14.3057,0.722078,0.000687095,-0.00379967,-0.691801
1718164065100163072,-62.7836,300.054,14.3026,0.722691,0.000603392,-0.00385529,-0.691161
1718164065200154880,-62.7682,299.633,14.3,0.72332,5.67159e-05,-0.0039227,-0.690502
1718164065300156928,-62.7518,299.211,14.2984,0.72397,-0.000229793,-0.00384671,-0.689821
1718164065400189952,-62.7336,298.787,14.2961,0.72458,-0.000631871,-0.00348795,-0.689182
1718164065500174080,-62.7164,298.364,14.2933,0.725218,-0.000830507,-0.00362096,-0.68851
1718164065600167936,-62.6987,297.939,14.2902,0.725853,-0.000992865,-0.00368761,-0.68784
1718164065700150016,-62.6799,297.514,14.2874,0.726335,-0.00111724,-0.00382488,-0.687329
1718164065800116992,-62.6615,297.088,14.2865,0.726907,-0.000994589,-0.00391669,-0.686724
1718164065900082944,-62.6421,296.66,14.2857,0.727399,-0.000743316,-0.00380278,-0.686203
1718164066000050944,-62.6219,296.231,14.2834,0.727769,-0.000428007,-0.00359064,-0.685813
1718164066099993088,-62.6019,295.803,14.2809,0.728168,-0.000250231,-0.00375833,-0.685388
1718164066199996928,-62.5814,295.373,14.2783,0.728509,-3.7783e-05,-0.00381648,-0.685026
1718164066299991040,-62.5595,294.943,14.2758,0.728816,-3.42803e-05,-0.00369001,-0.6847
1718164066399959040,-62.537,294.511,14.2743,0.729139,-0.000211004,-0.0035125,-0.684356
1718164066500004096,-62.5145,294.079,14.2725,0.729376,-0.00046737,-0.00375095,-0.684102
1718164066600009984,-62.494,293.645,14.2692,0.729611,-0.000280328,-0.00445018,-0.683848
1718164066700056064,-62.4728,293.208,14.2659,0.72986,0.000117565,-0.00464841,-0.683581
1718164066800133120,-62.4516,292.77,14.263,0.730063,0.000794381,-0.00482665,-0.683362
1718164066900227072,-62.4287,292.33,14.2602,0.730175,0.000752673,-0.00491301,-0.683242
1718164067000327936,-62.4032,291.889,14.2585,0.73022,0.000654496,-0.00425336,-0.683198
1718164067100446976,-62.3788,291.446,14.2567,0.730328,0.000994903,-0.00377129,-0.683086
